Date of Inquiry,Date of Contact,Client Name,Phone Number,Email,Lead Status,Viewing Scheduled,Viewed,Follow-up Comment,Outcome
2025-03-26,2025-03-27,Julia Bullock,985-654-6912x875,lsanders@gmail.com,Cold,No,No,Not Interested,Not Interested
2025-02-09,2025-03-26,Jennifer Hoffman,8880714181,phillipsbrittney@chambers.com,Warm,Yes,Yes,Booked Site Visit,Still Deciding
2025-03-18,2025-03-31,Christine Hendricks,(790)761-8202,phillipsmichael@howard-patterson.net,Warm,No,No,Not Interested,Purchased
2025-01-16,2025-02-15,Christopher Gomez,(383)418-1542x24366,fmorgan@hotmail.com,Cold,No,No,Other Interests,Still Deciding
2025-04-06,2025-04-08,Benjamin Boone,706.597.2594,juan61@carr-morrow.com,Warm,Yes,Yes,Other Interests,Purchased
2025-03-08,2025-03-16,Michael Franco,001-414-087-4091x2182,dmcdonald@andrews.biz,Warm,No,No,Agents,Still Deciding
2025-03-15,2025-04-02,Ralph Palmer,245-319-4143,lewislaurie@yahoo.com,Cold,No,No,Booked Site Visit,Purchased
2025-03-14,2025-03-26,Joshua Carpenter,506-252-9931x233,susanarroyo@yahoo.com,Warm,Yes,Yes,Follow Up with Another Call,Purchased
2025-02-05,2025-03-29,Nichole Potter,001-437-240-3507x2012,ajohnson@hotmail.com,Cold,No,No,Other Interests,Purchased
2025-03-22,2025-03-27,Ricky Barton,5836319767,alexanderaustin@mcknight.com,Cold,Yes,No,Other Interests,Purchased
2025-02-28,2025-04-05,Vanessa Collins,(550)757-6562x05924,xelliott@yahoo.com,Cold,Yes,Yes,Agents,Not Interested
2025-03-02,2025-03-31,Sarah Campos,294-949-6439x030,alexa96@yahoo.com,Warm,No,No,Visited,Not Interested
2025-01-13,2025-03-28,Matthew Parker,+1-432-767-6206x47402,pattersonnicholas@chen-peters.com,Cold,Yes,No,Did Not Pick,Not Interested
2025-02-08,2025-03-01,Larry Leach,748-445-7100,rcisneros@frank.com,Cold,No,No,Agents,Still Deciding
2025-02-22,2025-03-01,Rachel Wagner,+1-889-256-9456,cochranvicki@yahoo.com,Hot,Yes,Yes,Visited,Still Deciding
2025-01-27,2025-04-05,Barbara Mcdonald MD,736-385-4915,olsonangela@rowland.com,Hot,No,No,Agents,Not Interested
2025-03-13,2025-03-13,Greg Williams,4937668981,alexacarter@gmail.com,Hot,No,No,Follow Up with Another Call,Not Interested
2025-01-30,2025-02-14,Lauren Watson,+1-692-528-3739,elliottmaurice@simpson.net,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-13,2025-04-08,Patrick Mata,001-511-524-8699,fchang@ellis-duncan.com,Cold,Yes,No,Not Interested,Still Deciding
2025-03-19,2025-04-08,Susan Le,464.853.2367x558,baldwinmatthew@martinez.com,Cold,No,No,Follow Up with Another Call,Booked Another Visit
2025-02-11,2025-04-06,Alexandra Hancock,+1-349-059-7427,gdaniels@yahoo.com,Warm,Yes,Yes,Booked Site Visit,Not Interested
2025-04-01,2025-04-06,Elizabeth Anderson,(686)530-1618,vickie26@herrera.net,Warm,No,No,Other Interests,Purchased
2025-03-11,2025-03-31,Douglas Becker,+1-419-570-7212,vargasadam@barnes.info,Cold,Yes,Yes,Visited,Not Interested
2025-02-12,2025-04-07,Jesus Davis,028-039-1960x325,ericroberts@hotmail.com,Warm,No,No,Sent Info via Email,Not Interested
2025-02-16,2025-03-21,Seth Lara,(401)744-4225x441,murraymatthew@hotmail.com,Cold,No,No,Not Interested,Not Interested
2025-02-20,2025-03-11,Carlos Williams,520-915-4668x693,egomez@cowan.com,Cold,No,No,Other Interests,Booked Another Visit
2025-02-26,2025-04-02,Richard Williams,+1-618-417-2675x57189,kathryndavis@hurst-ellis.com,Cold,No,No,Agents,Purchased
2025-02-19,2025-02-23,Katrina Mcmillan,567.893.2631,courtneyvargas@moore.biz,Warm,No,No,Agents,Not Interested
2025-03-22,2025-03-26,Sherry Mcdonald,476-851-3350x3703,whitenatasha@gmail.com,Warm,Yes,Yes,Follow Up with Another Call,Not Interested
2025-03-13,2025-03-26,Erin Harper MD,093-270-9251,inavarro@yahoo.com,Cold,No,No,Sent Info via Email,Booked Another Visit
2025-03-16,2025-04-08,Ashley Stone,(840)972-9718,kevin38@bruce-rivera.biz,Hot,No,No,Sent Info via Email,Still Deciding
2025-02-23,2025-03-21,Charles Huerta,001-961-126-4136x4647,hortonrichard@mccormick.com,Hot,No,No,Sent Info via Email,Booked Another Visit
2025-03-26,2025-03-30,Sarah Carter,001-200-701-3791x81672,lopezmaria@davis-trujillo.com,Cold,No,No,Visited,Not Interested
2025-04-01,2025-04-04,Ashley Armstrong,977-476-5601,henrysheila@hotmail.com,Cold,Yes,Yes,Booked Site Visit,Purchased
2025-02-28,2025-03-20,Samantha Wilson,748.495.7152,robert29@ross.biz,Cold,Yes,Yes,Visited,Still Deciding
2025-02-14,2025-02-19,Sarah Campbell,330.046.0965,paularamirez@gmail.com,Cold,No,No,Agents,Not Interested
2025-01-14,2025-03-09,Joy Lee,600-282-7255x6649,jensenkatherine@sanchez.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-01-20,2025-03-19,Michael Hill,074.410.9381x5543,makayla20@gmail.com,Hot,No,No,Did Not Pick,Still Deciding
2025-03-15,2025-03-30,Steven Perry,041-236-4664x249,bmarsh@gmail.com,Cold,Yes,Yes,Follow Up with Another Call,Purchased
2025-02-19,2025-03-30,Peter Rhodes,915-982-7154,veronicamartinez@hotmail.com,Cold,No,No,Not Interested,Purchased
2025-02-05,2025-03-11,William Howe,+1-375-668-3897x988,timothy72@reynolds.com,Hot,No,No,Agents,Still Deciding
2025-01-22,2025-01-26,James Hill,647-284-3800,christopherbaker@anderson.com,Cold,No,No,Did Not Pick,Still Deciding
2025-03-03,2025-03-15,Tyler Harding,498.785.5615x3370,annejordan@hotmail.com,Cold,Yes,Yes,Booked Site Visit,Not Interested
2025-04-01,2025-04-06,Tammy Gutierrez,835-228-0936x078,douglassean@hotmail.com,Cold,Yes,Yes,Sent Info via Email,Booked Another Visit
2025-03-21,2025-03-22,Robert Medina,001-414-586-5946x631,donnagonzalez@gmail.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-01-19,2025-03-01,Dr. Beth Peters,248.520.7263,victoriaflowers@yahoo.com,Cold,No,No,Follow Up with Another Call,Not Interested
2025-01-14,2025-03-23,Belinda Clayton,8613324667,barnesmark@perry.org,Cold,No,No,Booked Site Visit,Still Deciding
2025-01-16,2025-03-30,Debra Robinson,+1-548-765-9758x56908,deanna74@yahoo.com,Cold,No,No,Sent Info via Email,Not Interested
2025-01-24,2025-02-09,George Bailey,898.760.0632,ystevens@gmail.com,Warm,No,No,Did Not Pick,Still Deciding
2025-01-28,2025-02-02,Terry Stevens,+1-739-737-3435x4605,mark61@yahoo.com,Cold,No,No,Visited,Purchased
2025-01-28,2025-02-12,Jennifer Morris,984-327-0556x7349,qschneider@gmail.com,Cold,Yes,Yes,Did Not Pick,Still Deciding
2025-03-02,2025-03-09,Gabrielle Garza,(693)438-2529,noahsanchez@gmail.com,Hot,No,No,Agents,Still Deciding
2025-01-09,2025-03-16,John Russell,001-155-842-5628x282,zward@myers.com,Cold,No,No,Agents,Not Interested
2025-01-25,2025-03-24,William Howard,393-167-6619,amyvance@madden.com,Warm,Yes,Yes,Sent Info via Email,Purchased
2025-02-07,2025-03-02,Brooke Villegas,2638304605,claytonmadison@hotmail.com,Hot,Yes,No,Sent Info via Email,Still Deciding
2025-01-25,2025-02-21,Richard Dougherty,093-535-5530,shannonsharon@rice.com,Cold,Yes,No,Other Interests,Still Deciding
2025-02-09,2025-04-01,Michael Nash,092-867-7092,richard40@yahoo.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-03-10,2025-04-07,Alyssa Russell,(129)419-5291x787,carteremily@hotmail.com,Warm,No,No,Not Interested,Purchased
2025-02-25,2025-03-10,Catherine Miller,001-932-763-7977x40955,anthony19@fisher.org,Cold,No,No,Booked Site Visit,Still Deciding
2025-03-26,2025-04-03,Diana Morales,+1-010-045-3300x14742,jason60@gmail.com,Hot,No,No,Booked Site Visit,Purchased
2025-03-08,2025-03-31,Frank Holmes,811.024.5209x409,levi78@lin.com,Cold,No,No,Sent Info via Email,Not Interested
2025-02-10,2025-02-13,Elizabeth Miller,001-165-238-8922,steven60@cole-martin.org,Warm,No,No,Visited,Still Deciding
2025-02-15,2025-03-18,Alicia King,001-160-805-2266x91525,qdiaz@gmail.com,Cold,Yes,No,Agents,Booked Another Visit
2025-03-15,2025-03-27,Amy Lopez,001-112-403-5421x7277,vmurphy@yahoo.com,Hot,Yes,Yes,Follow Up with Another Call,Not Interested
2025-03-01,2025-03-12,Melissa Guerrero,9448957504,lisabright@gmail.com,Cold,No,No,Not Interested,Purchased
2025-03-31,2025-04-07,Aaron Fitzgerald,(355)758-7105x027,steinjenna@hotmail.com,Hot,No,No,Follow Up with Another Call,Still Deciding
2025-04-05,2025-04-06,Jill Mendez,845-941-9502x91743,kwalls@yahoo.com,Hot,Yes,Yes,Not Interested,Purchased
2025-01-24,2025-02-06,Joel Austin,404.321.8025x848,courtneyclarke@christensen.info,Cold,Yes,Yes,Sent Info via Email,Still Deciding
2025-02-16,2025-03-31,Jennifer Morris,184.841.0039,kaylee00@gmail.com,Cold,No,No,Not Interested,Still Deciding
2025-03-03,2025-03-28,Robert Cruz,794.951.1061,kmartinez@lambert.net,Cold,No,No,Visited,Not Interested
2025-03-29,2025-03-30,Christina Perez,632-790-0960x70325,mmcguire@hotmail.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-04-08,2025-04-08,Rebecca Williams,001-811-517-9555,michaelpennington@hotmail.com,Cold,No,No,Booked Site Visit,Not Interested
2025-02-09,2025-03-17,Kimberly Collins,263-886-5459x27001,vweiss@davis.biz,Warm,No,No,Booked Site Visit,Not Interested
2025-01-26,2025-03-16,Judy King,076-045-6215,fernandozimmerman@hotmail.com,Hot,Yes,Yes,Did Not Pick,Still Deciding
2025-03-11,2025-03-16,Juan Sweeney,+1-266-721-4603x4451,fryerobert@gmail.com,Cold,No,No,Did Not Pick,Still Deciding
2025-03-03,2025-04-03,Ms. Cynthia Welch,001-774-534-5321x970,kevin45@gmail.com,Warm,No,No,Sent Info via Email,Still Deciding
2025-03-11,2025-03-17,Donald Mckee,652-008-7695x41365,wnguyen@schwartz.info,Hot,Yes,No,Visited,Booked Another Visit
2025-03-31,2025-04-05,Casey Hess,001-972-474-6821x62804,lsmith@hotmail.com,Warm,No,No,Agents,Not Interested
2025-01-13,2025-02-01,Michele Warren,001-738-600-3595x1936,christinasmith@gmail.com,Cold,No,No,Did Not Pick,Still Deciding
2025-03-07,2025-03-28,Joseph Stokes,407.613.7023,tiffanyadams@price.biz,Warm,No,No,Agents,Still Deciding
2025-04-05,2025-04-05,Jennifer Baker,+1-089-139-2631x3704,bhudson@martin.com,Cold,No,No,Booked Site Visit,Not Interested
2025-03-08,2025-04-01,David Nelson,438-416-8044,jgeorge@rojas.com,Hot,Yes,No,Booked Site Visit,Purchased
2025-02-06,2025-02-26,Deborah Bryan,(770)013-8847x44853,fcarter@armstrong-smith.com,Warm,Yes,Yes,Visited,Purchased
2025-02-07,2025-02-23,Karen Brown,(167)873-6982,davisdaniel@hotmail.com,Warm,No,No,Did Not Pick,Still Deciding
2025-02-08,2025-03-13,Jeremy Higgins,880-830-9082,bharrell@bryan-medina.com,Cold,Yes,No,Sent Info via Email,Still Deciding
2025-03-20,2025-03-30,John Grant,(096)445-0343,fkim@ortiz.com,Warm,No,No,Sent Info via Email,Still Deciding
2025-04-07,2025-04-08,Kari Andrade,+1-491-053-0948x190,heatherjennings@ramsey-rangel.net,Warm,Yes,Yes,Agents,Still Deciding
2025-02-06,2025-02-19,Katherine Carter,+1-270-700-2948,feliciahughes@gmail.com,Cold,Yes,No,Booked Site Visit,Still Deciding
2025-01-18,2025-02-11,Ashley Hays,(378)147-1271x219,oboyle@yahoo.com,Hot,No,No,Booked Site Visit,Purchased
2025-03-28,2025-03-29,Carlos Gibson,202.646.4801x7375,oreese@jimenez.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-01-23,2025-01-29,Charlene Smith,001-111-735-6503x5847,michael56@yahoo.com,Warm,Yes,Yes,Agents,Purchased
2025-02-01,2025-04-01,Elizabeth Coffey,194-517-6611x544,pnewman@medina.com,Cold,No,No,Visited,Booked Another Visit
2025-02-17,2025-03-02,Victor Barton,(773)380-5029x0550,nmiller@rodriguez.biz,Warm,No,No,Other Interests,Still Deciding
2025-03-16,2025-03-16,Austin Johnson,976-901-1837,aguirremary@yahoo.com,Hot,Yes,Yes,Not Interested,Not Interested
2025-01-23,2025-03-12,Steven Cook,001-444-458-8912x4653,whitemichael@walsh-burton.net,Cold,No,No,Sent Info via Email,Purchased
2025-02-28,2025-03-29,Annette Cruz,+1-138-426-9553x774,haileyarnold@hotmail.com,Cold,Yes,Yes,Visited,Still Deciding
2025-01-31,2025-02-03,Emily Hunter,8627308112,susan50@gmail.com,Cold,No,No,Follow Up with Another Call,Purchased
2025-02-05,2025-03-09,Kimberly Gutierrez,+1-348-606-8588,lbrown@reyes.com,Cold,No,No,Other Interests,Not Interested
2025-01-16,2025-03-25,Amanda Sims,940-386-3483,ramosmichael@gmail.com,Cold,Yes,Yes,Not Interested,Still Deciding
2025-03-05,2025-04-03,Stephanie Fernandez,(475)663-6545x9810,aperez@whitehead.biz,Warm,No,No,Not Interested,Purchased
2025-02-26,2025-03-25,Timothy Sanchez,345.019.4426x3403,marybradley@lindsey-jackson.net,Cold,Yes,Yes,Other Interests,Purchased
2025-02-24,2025-03-01,Eric Duncan,471-741-1195,carolwilliams@yahoo.com,Warm,No,No,Visited,Purchased
2025-02-26,2025-02-26,Hayley Cochran,405.467.2251,rachelelliott@wilson.com,Warm,No,No,Visited,Not Interested
2025-01-11,2025-03-11,Ashley Hill,476.681.4876,zgraham@tanner.com,Hot,No,No,Not Interested,Booked Another Visit
2025-01-20,2025-01-25,Andrew Ryan,(655)838-5593x1956,amandalynch@yahoo.com,Cold,Yes,No,Agents,Still Deciding
2025-02-10,2025-03-09,Paula Diaz,001-466-411-3747,christopherlarson@green-holloway.org,Warm,Yes,Yes,Other Interests,Purchased
2025-04-07,2025-04-08,Allison Miller,001-413-491-6641,victor74@yahoo.com,Hot,No,No,Did Not Pick,Still Deciding
2025-03-22,2025-03-27,Alexandra Wells,5356418923,browntraci@bean.com,Cold,No,No,Other Interests,Not Interested
2025-02-20,2025-03-05,Stuart Wong,(015)084-2244x52182,charlesalvarez@christensen.com,Cold,No,No,Not Interested,Booked Another Visit
2025-02-04,2025-02-17,Jeffrey Young,(137)993-4585,howardlisa@fuller.com,Cold,No,No,Visited,Still Deciding
2025-04-07,2025-04-07,Patricia Campbell,(964)310-0397x342,justin68@allen-jones.com,Warm,Yes,Yes,Agents,Still Deciding
2025-03-25,2025-03-25,James Baker,883.030.1157,mrowland@miranda-vargas.com,Cold,Yes,Yes,Other Interests,Still Deciding
2025-03-24,2025-04-08,Craig Martin,001-857-933-5997x97668,rachel21@lee.com,Cold,Yes,No,Follow Up with Another Call,Still Deciding
2025-03-11,2025-03-31,Thomas Rhodes,+1-353-750-2594x256,amberreed@kent.net,Cold,No,No,Visited,Still Deciding
2025-02-25,2025-03-13,George Wilson,030.455.5034,marcus97@blackburn.com,Cold,Yes,No,Sent Info via Email,Still Deciding
2025-02-06,2025-02-13,Ryan Rosales,825-123-0128,schultzwilliam@duncan-webb.com,Warm,No,No,Sent Info via Email,Purchased
2025-02-03,2025-02-07,Lawrence Thompson,018-113-7938x6516,mccannrobert@haley-green.net,Warm,No,No,Booked Site Visit,Not Interested
2025-01-19,2025-04-06,Brian Gardner,795.420.8236x533,tinajones@kerr-lopez.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-02-01,2025-02-24,Anthony Stout,+1-237-849-9745,joseph50@gmail.com,Warm,No,No,Sent Info via Email,Not Interested
2025-03-31,2025-04-03,Norma Aguirre,001-380-087-3985x8337,kwallace@hotmail.com,Warm,Yes,Yes,Booked Site Visit,Still Deciding
2025-03-05,2025-03-20,Anthony Martinez,617-558-4319,kimchristopher@yahoo.com,Warm,Yes,Yes,Other Interests,Booked Another Visit
2025-02-11,2025-03-24,Tammy Watts,+1-180-047-4698,fullercharles@hotmail.com,Warm,No,No,Visited,Purchased
2025-04-05,2025-04-08,Ashley Edwards,+1-745-551-7378x99897,bensonanthony@hotmail.com,Warm,No,No,Agents,Still Deciding
2025-02-21,2025-03-26,Emily Harris,237.555.2148,sarahjimenez@hotmail.com,Hot,No,No,Sent Info via Email,Booked Another Visit
2025-03-11,2025-03-24,Dakota Ewing,(736)785-9019x0287,joseph99@johnson-turner.com,Hot,No,No,Did Not Pick,Still Deciding
2025-02-26,2025-02-26,Mrs. Rebecca Nelson,(533)026-0843x546,ebruce@davis.com,Warm,No,No,Visited,Purchased
2025-03-23,2025-04-03,Amanda Perez,(922)637-0357,prios@wood.org,Cold,Yes,Yes,Other Interests,Still Deciding
2025-03-17,2025-03-24,Connie Page,+1-331-400-5784,shelly02@yahoo.com,Cold,No,No,Sent Info via Email,Not Interested
2025-03-18,2025-03-18,Michael Murphy,7401087194,kjones@wilkerson.com,Hot,Yes,No,Other Interests,Not Interested
2025-04-05,2025-04-06,Lindsey Castillo,148-933-1338,morrisondesiree@yahoo.com,Hot,No,No,Booked Site Visit,Not Interested
2025-02-19,2025-03-08,Brian Walters,+1-413-885-1546x0536,shannondouglas@martinez.com,Warm,No,No,Other Interests,Not Interested
2025-02-09,2025-02-21,William Gutierrez,001-771-957-9993,xstone@gonzalez-friedman.com,Cold,No,No,Visited,Purchased
2025-01-14,2025-02-05,Justin Clark,890.968.6796x645,hsantiago@hotmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-25,2025-03-30,Martin Perry,+1-757-563-7227x212,phillip32@johnson-lopez.biz,Cold,No,No,Did Not Pick,Still Deciding
2025-02-23,2025-03-28,Christopher Gill,8755694233,garypearson@gmail.com,Warm,No,No,Not Interested,Not Interested
2025-01-27,2025-03-27,Elizabeth Mejia,254-978-4671x54187,vincentperez@martinez-wood.com,Hot,Yes,Yes,Did Not Pick,Still Deciding
2025-04-03,2025-04-06,Denise Smith,(317)463-5536x017,laurajordan@gmail.com,Cold,No,No,Follow Up with Another Call,Booked Another Visit
2025-03-16,2025-04-01,Alice Larson,+1-898-749-8432x60619,marcus53@ray.biz,Cold,No,No,Did Not Pick,Not Interested
2025-03-11,2025-03-11,Blake Rios,280-543-6781,mjohnson@yahoo.com,Warm,No,No,Visited,Purchased
2025-02-04,2025-04-05,Nicole Gray,675.956.9844x6007,jamesmiller@page.com,Hot,Yes,Yes,Did Not Pick,Still Deciding
2025-03-13,2025-03-20,Kevin Thomas,409.260.6366,gbender@hotmail.com,Cold,No,No,Sent Info via Email,Purchased
2025-02-01,2025-02-09,Johnathan Thompson,669-114-5324,lopezdana@yahoo.com,Cold,No,No,Agents,Booked Another Visit
2025-01-21,2025-03-19,Carolyn Scott,452.980.2617,howardmelanie@newman.com,Cold,No,No,Booked Site Visit,Purchased
2025-04-02,2025-04-07,Amanda Stewart,001-969-040-0049x18675,andreathompson@melton.org,Cold,Yes,No,Did Not Pick,Purchased
2025-03-04,2025-03-30,Paula Burke,(300)320-4589,uwise@rodriguez.info,Hot,Yes,No,Sent Info via Email,Still Deciding
2025-04-01,2025-04-02,William Horton,+1-604-636-6285x79575,michelle45@gmail.com,Cold,No,No,Booked Site Visit,Not Interested
2025-01-29,2025-03-17,Marissa King PhD,(828)482-6815x2954,jordanamy@anderson-alvarado.org,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-02-28,2025-03-19,Nicole Hughes,587-008-8980x8852,jesse60@yahoo.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-03-17,2025-03-18,Brian Johnson,001-088-936-4076x713,shawnamartinez@jacobs.com,Cold,Yes,Yes,Visited,Purchased
2025-02-17,2025-03-14,Mr. Steven Proctor MD,986.675.4488,nsmith@smith.org,Cold,Yes,Yes,Sent Info via Email,Not Interested
2025-03-21,2025-04-02,Johnny Gamble,001-288-874-4822x696,mary61@baker.com,Hot,No,No,Booked Site Visit,Still Deciding
2025-02-05,2025-04-04,Laura Smith,(003)393-2548,prichardson@woods.net,Warm,No,No,Other Interests,Still Deciding
2025-02-04,2025-02-04,Natalie Ramos,186-977-9758,kruegerjennifer@hotmail.com,Cold,Yes,No,Other Interests,Still Deciding
2025-03-06,2025-04-06,Mark Morrison,(894)476-4925x823,carterconnor@woodward.net,Warm,Yes,No,Agents,Not Interested
2025-02-26,2025-03-30,Frances Williams,822.517.2460x564,ewilliams@stephenson-ballard.net,Cold,No,No,Not Interested,Still Deciding
2025-03-16,2025-03-18,Elizabeth Edwards,(375)974-4481x131,owilkins@horton.net,Cold,Yes,Yes,Agents,Not Interested
2025-02-01,2025-03-19,Steven Mendoza,217-432-8851x3224,anthonybarton@pham.com,Warm,No,No,Did Not Pick,Purchased
2025-02-23,2025-03-10,Taylor Hubbard,900-814-1564x292,walkerwilliam@russell.com,Cold,No,No,Not Interested,Booked Another Visit
2025-02-22,2025-04-07,Sandy Wilson,(663)466-9881x36829,vincent18@hotmail.com,Hot,No,No,Did Not Pick,Purchased
2025-04-06,2025-04-07,Paul Cohen,979.092.6140x20495,qperez@cervantes.com,Hot,No,No,Not Interested,Not Interested
2025-01-09,2025-02-25,Henry Holt,059-571-2070x3762,sgreene@wells.com,Warm,Yes,Yes,Agents,Still Deciding
2025-02-23,2025-03-10,Gilbert Hall,4004800605,marysullivan@schroeder.org,Warm,No,No,Booked Site Visit,Still Deciding
2025-03-12,2025-04-08,Tom Hunter,(725)458-4578,bryananderson@harris-johnston.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-01-21,2025-02-16,Danielle Doyle,5256518081,rebeccaparrish@martinez.com,Warm,Yes,No,Not Interested,Still Deciding
2025-03-25,2025-03-28,Jennifer Cross,001-635-863-3243x977,ggonzalez@hotmail.com,Hot,No,No,Agents,Still Deciding
2025-03-28,2025-04-02,Richard Phelps,(397)570-1974x7261,stephanie31@mccarthy.net,Warm,No,No,Sent Info via Email,Still Deciding
2025-02-14,2025-03-19,Brenda Snyder,452-400-3855,molson@yahoo.com,Cold,No,No,Visited,Booked Another Visit
2025-03-04,2025-03-31,Shelby Martin,692.081.3307x92208,nichole58@freeman.com,Cold,No,No,Visited,Still Deciding
2025-02-19,2025-03-12,Steven Brown,206.040.8751x6488,hallison@gmail.com,Warm,No,No,Sent Info via Email,Still Deciding
2025-01-28,2025-02-14,Kayla Davila,(500)213-8333,alvarezcharles@harris-west.com,Hot,No,No,Booked Site Visit,Booked Another Visit
2025-01-25,2025-02-22,Austin Campbell,+1-007-015-3508,alison39@vaughn.org,Cold,No,No,Not Interested,Booked Another Visit
2025-02-27,2025-04-01,Daniel Watson,134.154.4383x649,jacksonnathan@hotmail.com,Cold,No,No,Agents,Purchased
2025-01-26,2025-03-16,Arthur Young,+1-785-727-1272x51007,howejames@gmail.com,Cold,No,No,Follow Up with Another Call,Still Deciding
2025-03-12,2025-03-31,Amanda Ibarra,+1-445-712-3757x899,christineramos@hotmail.com,Warm,Yes,Yes,Visited,Not Interested
2025-01-17,2025-04-01,Anita Taylor,+1-697-223-6540x0677,angela03@jones-dixon.com,Warm,No,No,Sent Info via Email,Purchased
2025-02-25,2025-03-09,Christopher Allen,896.006.8680,christianhuynh@long.org,Cold,Yes,No,Visited,Purchased
2025-02-04,2025-02-24,Alexandria Brewer,001-448-404-6426,johncraig@gmail.com,Warm,Yes,Yes,Follow Up with Another Call,Not Interested
2025-04-04,2025-04-05,Michelle Nelson,001-308-722-5449x8344,rmejia@crawford.com,Cold,No,No,Did Not Pick,Not Interested
2025-02-22,2025-03-09,Melinda Mcgee,468-253-0723x3283,phillipstammy@bradshaw.com,Hot,Yes,Yes,Agents,Still Deciding
2025-02-12,2025-02-27,Anthony Thomas,5849855056,elizabethjacobs@yahoo.com,Cold,No,No,Not Interested,Not Interested
2025-02-20,2025-03-03,Matthew Yu,117-458-3598,chayden@bell-cobb.com,Cold,No,No,Sent Info via Email,Booked Another Visit
2025-01-30,2025-02-19,Danielle Cordova,527-538-4585,xthompson@hotmail.com,Hot,No,No,Other Interests,Still Deciding
2025-01-18,2025-01-19,Heidi Owens,001-859-493-4488x64927,garrettleslie@yahoo.com,Warm,Yes,No,Did Not Pick,Still Deciding
2025-01-17,2025-02-06,Erica Davis,+1-112-741-8665,howard20@hotmail.com,Warm,No,No,Visited,Booked Another Visit
2025-03-25,2025-04-01,Amanda Miller,636-077-7273,cstephens@hotmail.com,Hot,Yes,Yes,Other Interests,Booked Another Visit
2025-01-28,2025-01-30,Melody Henderson,(740)101-9739x966,rosspamela@gmail.com,Cold,No,No,Sent Info via Email,Still Deciding
2025-03-22,2025-04-01,William Long,+1-263-690-9973x709,jessica68@henry.com,Cold,No,No,Did Not Pick,Not Interested
2025-03-27,2025-03-27,Christine Moore,(039)486-0401,christopher56@hall.com,Cold,Yes,Yes,Follow Up with Another Call,Still Deciding
2025-03-22,2025-03-27,Kyle Mendoza,+1-062-768-5082,smithlauren@farmer-edwards.info,Cold,No,No,Not Interested,Not Interested
2025-02-05,2025-03-20,April Morris,+1-808-005-5930x016,williammcneil@gmail.com,Cold,No,No,Other Interests,Still Deciding
2025-02-21,2025-03-18,Robyn Petersen,484.629.8743x13839,cwalsh@gmail.com,Cold,No,No,Did Not Pick,Not Interested
2025-01-13,2025-01-16,Zachary Mendez,142.498.1831,mooredeborah@hotmail.com,Cold,No,No,Booked Site Visit,Booked Another Visit
2025-04-04,2025-04-04,Christina Foster,+1-199-081-7685x115,torresjared@yahoo.com,Warm,Yes,Yes,Sent Info via Email,Booked Another Visit
2025-03-12,2025-03-15,Diana Freeman,5905789292,ashley37@yahoo.com,Hot,No,No,Not Interested,Not Interested
2025-02-03,2025-02-04,Thomas Barrera,+1-174-101-3937x2297,ellisdonald@gmail.com,Warm,No,No,Other Interests,Purchased
2025-02-14,2025-03-12,Kevin Hamilton,001-134-123-4128x793,ghernandez@hill-martinez.net,Cold,No,No,Sent Info via Email,Still Deciding
2025-03-25,2025-03-26,Matthew Wilson,(814)750-5018x2569,ravila@gmail.com,Cold,Yes,No,Other Interests,Not Interested
2025-02-20,2025-03-25,Suzanne Wilson,453.315.1413,rodney64@riddle.org,Cold,No,No,Did Not Pick,Purchased
2025-03-04,2025-03-24,Charles Massey,192-352-5954x23354,carloswebb@brown.com,Warm,No,No,Not Interested,Not Interested
2025-02-17,2025-03-17,Emma Willis,(443)816-5729x8209,andrewmason@brewer.com,Cold,No,No,Booked Site Visit,Still Deciding
2025-04-07,2025-04-07,Nicole Morales,001-668-589-0627x955,craigallen@burgess.com,Cold,No,No,Follow Up with Another Call,Not Interested
2025-02-16,2025-03-01,William Thompson,+1-511-558-8468,lrodriguez@hotmail.com,Cold,No,No,Visited,Not Interested
2025-03-06,2025-03-10,Dr. Julie Gamble,286.875.4102,jonessuzanne@hendrix.com,Hot,No,No,Not Interested,Still Deciding
2025-02-04,2025-02-23,Peter Williams,443.013.4029x2040,uthompson@rose-davis.info,Cold,Yes,Yes,Did Not Pick,Still Deciding
2025-02-06,2025-03-19,Bonnie Vang,409.329.9576x55942,gardnerthomas@hotmail.com,Warm,Yes,Yes,Agents,Still Deciding
2025-04-08,2025-04-08,Jeffrey Collins,6755734342,angela74@yahoo.com,Hot,No,No,Not Interested,Not Interested
2025-03-24,2025-04-08,Peter Alvarez,144.770.5172x27816,sonia41@yahoo.com,Cold,No,No,Booked Site Visit,Not Interested
